title,author,genre,total_likes,status,scrape_date
Catharsis,Ahniki,Fantasy,3300000,completed,2022-12-27
April Flowers,ccustard,Fantasy,1300000,completed,2022-12-27
Lorna,Benji Nate,Slice of life,380430,completed,2022-12-27
Hellper,SAKK,Fantasy,1100000,completed,2022-12-27
LESSA 2 - The Crimson Knight,POGO,Action,857476,completed,2022-12-27
Under the Aegis,VIMEDDIEE,Fantasy,566291,completed,2022-12-27
Subtle Disaster,SUNGHO AN,Drama,198496,completed,2022-12-27
LESSA,POGO,Action,575230,completed,2022-12-27
FAMILY MAN,Pillwon Jung,Drama,139901,completed,2022-12-27
Asterion,NeverDraws,Drama,420509,completed,2022-12-27
Strawberry Seafoam,Bryan Golden,Fantasy,2200000,completed,2022-12-27
Eternals: The 500 Year War,Marvel,Superhero,69681,completed,2022-12-27
DON'T HATE,Pink_Alien,Comedy,4300000,completed,2022-12-27
Saphie: The One-Eyed Cat,joho,Slice of life,11900000,completed,2022-12-27
Soul on Hold,Austen Marie,Supernatural,1300000,completed,2022-12-27
The Sound of Your Heart,Cho Seok,Comedy,2300000,completed,2022-12-27
Cat Loaf Adventures,kyutepastry,Slice of life,2200000,completed,2022-12-27
HAPI BUNI,Ryan Pagelow,Comedy,2800000,completed,2022-12-27
Staying Healthy Together,Various Artists,Informative,1600000,completed,2022-12-27
Dragnarok: Descendants,KPJ / Magmi,Fantasy,356474,completed,2022-12-27
Cooking Comically,Tyler Capps,Informative,296295,completed,2022-12-27
Illusions of Adulting,Sara Zimmerman/Unearthed Comics,Slice of life,168923,completed,2022-12-27
How to Love,Dorris McComics,Slice of life,675494,completed,2022-12-27
Your Adventure,Chris McCoy,Comedy,166643,completed,2022-12-27
Smile Brush: My Old Pictures,waroo,Slice of life,353380,completed,2022-12-27
Library Ghost,Mikey Heller,Comedy,278219,completed,2022-12-27
Midnight Rhapsody,Wony / Yoonsoo Sim,Slice of life,122727,completed,2022-12-27
The Masked Fables,Ebae Kim,Fantasy,538552,completed,2022-12-27
Supersonic Girl,Sandra Diaz,Superhero,662582,completed,2022-12-27
American Road Trip,Patrick Flores-Scott / Little Corvus,Drama,348585,completed,2022-12-27
WEBTOON GREENLiGHT,WEBTOON / Various Artists,Fantasy,3300000,completed,2022-12-27
As Per Usual,Dami Lee,Slice of life,9700000,completed,2022-12-27
Falling in the Blue,SimzArt,Sci-fi,135604,completed,2022-12-27
dustinteractive,Dustin Rogers,Comedy,8300000,completed,2022-12-27
New Normal: Class 8,Youngpaka,Drama,2800000,completed,2022-12-27
Skate!!! Fire 100,Mallowboo / Diggymungo,Sports,283991,completed,2022-12-27
S.I.D.,Sadaham,Supernatural,1900000,completed,2022-12-27
Sword Interval,Benjamin Fleuter,Supernatural,1600000,completed,2022-12-27
Cupid's Arrows,Thomas F. Zahler,Romance,501050,completed,2022-12-27
UnderPrin,smbryms,Supernatural,2800000,completed,2022-12-27
Brothers Bond,Kevin Grevioux / Ryan Benjamin,Action,161030,completed,2022-12-27
Haxor,Walter Ostlie,Sci-fi,197042,completed,2022-12-27
Varsity Noir,Kate Glasheen,Mystery,187606,completed,2022-12-27
Magician,Serae Kim,Fantasy,2400000,completed,2022-12-27
Messenger,Paul Tobin / Ray Nadine,Fantasy,730427,completed,2022-12-27
Behind the GIFs,AC Stuart / Kat Swenski,Comedy,8600000,completed,2022-12-27
Just for Kicks,Josie Fox,Slice of life,2500000,completed,2022-12-27
Bite Me,AffectedMind,Thriller,1400000,completed,2022-12-27
Alice Elise,Nicky Soh,Fantasy,134430,completed,2022-12-27
Aphrodite IX,Matt Hawkins / Stjepan Sejic,Sci-fi,161195,completed,2022-12-27
Dents,Beth Behrs & Matt Doyle / Sid Kotian,Sci-fi,874590,completed,2022-12-27
Shard,echorise,Supernatural,945413,completed,2022-12-27
FINALITY,Warren Ellis / Colleen Doran,Mystery,23748,completed,2022-12-27
Girls Have a Blog,Sarah Bollinger / Tara Kurtzhals,Slice of life,709398,completed,2022-12-27
Pacific Rim: Amara,Cavan Scott / Zhang Ran / BigN,Sci-fi,86816,completed,2022-12-27
Sithrah,Jason Brubaker,Fantasy,272999,completed,2022-12-27
MercWorks,David J Catman,Slice of life,523409,completed,2022-12-27
Ghosts Among the Wild Flowers,Ghost Wintersnow,Fantasy,465975,completed,2022-12-27
Fantasy Sketch - The Game,Jaekyeong Um / Beom Sick Cheon,Sci-fi,100627,completed,2022-12-27
Davinchibi,Camilla d’Errico / Stephen W. Martin,Fantasy,77767,completed,2022-12-27
All That You Are,Brayden Sato,Drama,101476,completed,2022-12-27
Gepetto,Jewon Yeon,Sci-fi,724460,completed,2022-12-27
Aisopos,Yangsoo Kim / Dogado,Drama,288216,completed,2022-12-27
Magical 12th Graders,seri / Biwan,Superhero,592611,completed,2022-12-27
All That We Hope to Be,it sun,Slice of life,207199,completed,2022-12-27
Up and Out ,Julia Kaye,Slice of life,561967,completed,2022-12-27
Westwood Vibrato,Inwan Youn / Sunhee Kim,Drama,202333,completed,2022-12-27
3-Second Strip,Bae Jin-Soo,Comedy,833613,completed,2022-12-27
SIDEKICKS,IRON Shin,Superhero,768810,completed,2022-12-27
National Dog Day 2016,Various Artists,Slice of life,186809,completed,2022-12-27
A Bittersweet Life,Donggeon Lee,Slice of life,446917,completed,2022-12-27
My Kitty and Old Dog,cho,Slice of life,942739,completed,2022-12-27
Aura from Another Planet,Kyusam Kim,Comedy,276703,completed,2022-12-27
ㄴㅇㄹㅇㄴㄹ,LOZOLZ,Informative,267251,completed,2022-12-27
Denma,Youngsoon Yang,Sci-fi,2800000,completed,2022-12-27
Guardians of the Video Game,Gasfard,Sci-fi,477355,completed,2022-12-27
Thornstone,Vicente Miranda,Fantasy,597837,completed,2022-12-27
The Red Hook: Blackout & PTSD,Dean Haspiel,Superhero,21710,completed,2022-12-27
ROB,Richard Dinnick / Magda Price & Miguel Sepulveda,Fantasy,63818,completed,2022-12-27
The Red Hook: STARCROSS,Dean Haspiel,Superhero,21457,completed,2022-12-27
The Red Hook: War Cry,Dean Haspiel,Superhero,43255,completed,2022-12-27
The Red Hook,Dean Haspiel,Superhero,54982,completed,2022-12-27
Lunarbaboon,Lunarbaboon,Slice of life,4700000,completed,2022-12-27
XINK3R,CHU KWON,Superhero,662472,completed,2022-12-27
Doodle for Food,Megan McKay,Slice of life,3600000,completed,2022-12-27
Acursian,John Barrowman / Carole Barrowman and Erika Lewis,Supernatural,35740,completed,2022-12-27
Spirits,Joseph Grabowski / Colin Lawler,Fantasy,162843,completed,2022-12-27
New Life Project,Cherng,Comedy,75069,completed,2022-12-27
Firebrand,Jessica Chobot& Erika Lewis / Claudia Aguirre,Supernatural,310539,completed,2022-12-27
Heartwired,Rod Hannah / stratosmacca,Sci-fi,208742,completed,2022-12-27
Metaphorical HER,James Maddox / David Stoll,Drama,184601,completed,2022-12-27
Caster,Common / Noble Transmission,Action,73818,completed,2022-12-27
Eat Fighter,Crystal Skillman / Fred Van Lente / Fernando Pinto,Sports,69865,completed,2022-12-27
Shadow Pirates, Sean Galloway / ​ Ian Hopps / Leonel Castellani,Fantasy,51370,completed,2022-12-27
1000,Chuck Brown / Sanford Greene,Action,81222,completed,2022-12-27
Trash Bird,Reza Farazmand,Comedy,1100000,completed,2022-12-27
Cyberbunk,Bradley Mason / SCE,Sci-fi,149761,completed,2022-12-27
Average Adventures of an Average Girl,lallirrr,Slice of life,597024,completed,2022-12-27
Polidiocy,Mahoney & Akel / Ryan Dunlavey,Comedy,75145,completed,2022-12-27
Nicholalala,Nichola Gwon,Slice of life,187088,completed,2022-12-27
Faust,Arechan,Supernatural,599334,completed,2022-12-27
Roar Street Journal,Bonnie Pang,Slice of life,1000000,completed,2022-12-27
MOONBEARD,James Squires,Comedy,406749,completed,2022-12-27
Hello World!,Alex Norris,Slice of life,171908,completed,2022-12-27
RANDOMPHILIA,Devin Bosco Le,Comedy,1100000,completed,2022-12-27
The Gentleman’s Armchair,Wes,Comedy,300734,completed,2022-12-27
Inarime,Maria Riccio / Tommaso Bennato,Superhero,121598,completed,2022-12-27
The DaneMen,David Danemen,Comedy,466154,completed,2022-12-27
Heroine Chic,David Tischman / Audrey Mok,Superhero,928314,completed,2022-12-27
Penguin Loves Mev,Penguin,Slice of life,330425,completed,2022-12-27
Immortal Nerd,Hanna-Pirita Lehkonen,Slice of life,177033,completed,2022-12-27
Power Ballad,Molly Brooks,Superhero,103834,completed,2022-12-27
Knight Run,Sungmin Kim,Sci-fi,167680,completed,2022-12-27
Jackie Rose,Josh Ulrich,Supernatural,225899,completed,2022-12-27
1111 Animals,1111,Comedy,262135,completed,2022-12-27
The Purple Heart,Vito Delsante / Ricardo Venâncio,Superhero,50360,completed,2022-12-27
Pigminted,Le Brown,Slice of life,238479,completed,2022-12-27
The Brooklynite,Seth Kushner / Shamus Beyale,Superhero,33658,completed,2022-12-27
Lars,The Awkward Yeti,Slice of life,309501,completed,2022-12-27
City of Walls,A.K. Lovelace / Shaun Noel,Drama,20702,completed,2022-12-27
Cluster Fudge,John McNamee,Slice of life,247270,completed,2022-12-27
BuzzFeed Comics,BuzzFeed Comics,Comedy,831996,completed,2022-12-27
Tickle Town,Ardtron / GNICE,Comedy,117475,completed,2022-12-27
Helios:Femina,Michelle Phan,Fantasy,302358,completed,2022-12-27
Cyberforce,Top Cow Productions,Superhero,55456,completed,2022-12-27
Cyko-KO,Robert Feldman,Superhero,8887,completed,2022-12-27
Midnight Rhapsody : Season 2,Wony / Yoonsoo Sim,Slice of life,104000,completed,2022-12-27
Just Ask Yuli,Yulius Efferven,Slice of life,29908,completed,2022-12-27
The Life of the Three Bears,Mr.D,Slice of life,54053,completed,2022-12-27
Jingle Jungle,Yongjin Kim,Slice of life,52400,completed,2022-12-27
2015: Space Series,Various Artists,Sci-fi,66475,completed,2022-12-27
Epic V,Ardtron / GNICE,Comedy,20364,completed,2022-12-27
