title,author,genre,total_likes,status,scrape_date
Romance Punch,Galang Larope,Comedy,90351,ongoing,2022-12-27
From Morning to Night,JiEun Son,Fantasy,238866,ongoing,2022-12-27
Blue,kennsaty,Drama,173460,ongoing,2022-12-27
Machine Uprising,Hongjacga / Tae-yul Park,Sci-fi,62256,ongoing,2022-12-27
GANDA: Night Defender,Nikki Dibya Wardhana / Linka08,Action,50649,ongoing,2022-12-27
Noise From Upstairs,Yangsong,Thriller,124166,ongoing,2022-12-27
Little Matcha Girl,mame ´･ω･`,Fantasy,2000000,hiatus,2022-12-27
Luggage,zealforart,Fantasy,292220,hiatus,2022-12-27
Let's Play,Leeanne M. Krecic (Mongie),Romance,40900000,hiatus,2022-12-27
Sable Curse,Little Melon,Fantasy,309846,hiatus,2022-12-27
Acception,Colourbee,Drama,13400000,hiatus,2022-12-27
Boyfriend of the Dead,Ushio,Comedy,29200000,hiatus,2022-12-27
Royale,Emmett Hobbes / Hank Jones,Mystery,58378,hiatus,2022-12-27
Nothing Special,Katie Cook,Fantasy,3000000,hiatus,2022-12-27
Her Mannequin,ST,Romance,529680,hiatus,2022-12-27
Not So Shoujo Love Story,Curryuku,Comedy,4400000,hiatus,2022-12-27
True Beauty,Yaongyi,Romance,51500000,ongoing,2022-12-27
Teenage Mercenary,YC / Rakyeon,Action,7400000,ongoing,2022-12-27
Omniscient Reader,singNsong / UMI,Action,18400000,ongoing,2022-12-27
Night Owls & Summer Skies,Rebecca Sullivan / TIKKLIL,Romance,729078,ongoing,2022-12-27
Phase,Jouki,Romance,6000000,ongoing,2022-12-27
Hand Jumper,SLEEPACROSS,Thriller,1100000,ongoing,2022-12-27
The Dungeon Cleaning Life of a Once Genius Hunter,Dalbeat / GoilGoil,Action,276383,ongoing,2022-12-27
My S-Class Hunters,seri / biwan,Action,1000000,ongoing,2022-12-27
Spellward Bound,DuneDeca,Fantasy,48001,ongoing,2022-12-27
Return of the Mad Demon,JP / Ihy,Historical,1500000,ongoing,2022-12-27
Twilight Poem,Kim Suji / MIDNIGHT STUDIO,Fantasy,793931,ongoing,2022-12-27
Infinite Leveling: Murim,Jinwoo Kim / Gonbung,Action,1700000,ongoing,2022-12-27
Of Swamp & Sea,Mia Jay Boulton & Laurel Boulton,Supernatural,1000000,ongoing,2022-12-27
A Chance At Last,Dindon / Seo hye eun,Romance,875400,ongoing,2022-12-27
Safely Endangered,Chris McCoy,Comedy,23400000,ongoing,2022-12-27
In the Bleak Midwinter;,Kat / Ali,Sci-fi,2900000,ongoing,2022-12-27
Realta,Rachel Eaton,Fantasy,399902,hiatus,2022-12-27
Going Up,Melissaboo,Romance,170495,ongoing,2022-12-27
Reincarnated as an Unruly Heir,Jeon madu / zaemu,Action,833663,ongoing,2022-12-27
X & Ash,Sehoon Kim / Kwangsu Lee,Action,357697,ongoing,2022-12-27
QUESTISM,TAEWAN / YuNuni,Fantasy,595733,ongoing,2022-12-27
The Fox Club,HJ. Hwang,Romance,609868,ongoing,2022-12-27
"Date First, Love Later",the gom (HAPPYBOOKSTOYOU) / jungmi,Romance,1500000,hiatus,2022-12-27
A Summer Night's Dream,Kim su bak / Kan,Romance,1400000,ongoing,2022-12-27
The Final Raid Boss,KIM JANGHUN / HA SEONGSHIN,Fantasy,472111,ongoing,2022-12-27
A Dance of Swords in the Night,JP / MinskySong,Action,152042,ongoing,2022-12-27
The Last Dimension,Leaglem,Sci-fi,474393,ongoing,2022-12-27
No Marriage is Perfect,Lee Dahong / Long.B,Romance,1300000,ongoing,2022-12-27
The Prenup,Flada / Siwon,Romance,587338,ongoing,2022-12-27
Blue Matter,forgotuser,Fantasy,638874,ongoing,2022-12-27
Warrior of the Wild,Jinglestan / Brian Koffler,Action,592770,ongoing,2022-12-27
Neon Revenge,Gisong / NemGa,Action,2000000,hiatus,2022-12-27
The Dummy's Dummy,Mochamura,Horror,657488,ongoing,2022-12-27
SOLEIL,YenKin,Fantasy,1200000,ongoing,2022-12-27
Housekeeper,Yongtaek Chae / Yuhyun,Sci-fi,353547,ongoing,2022-12-27
Jupiter-Men,Actionkiddy,Action,146033,ongoing,2022-12-27
Darbi,Sherard Jackson,Action,2500000,ongoing,2022-12-27
SOULWINDER,android_k05 / WmW,Thriller,236007,ongoing,2022-12-27
A DeadbEAT's Meal,CHEESE,Slice of life,345985,ongoing,2022-12-27
Escape from Oz,Kelly Angel,Comedy,32624,ongoing,2022-12-27
Keys,RyaiArt,Action,100150,ongoing,2022-12-27
Nina's Magic Chest,RD,Fantasy,227121,ongoing,2022-12-27
Fingers,jeongsik Park / Ssuljak,Thriller,56425,ongoing,2022-12-27
Spirit Hunter,Yoon Hyun-seung / Bang Seung-hyun,Supernatural,444156,ongoing,2022-12-27
Descended from Divinity,San Cheon / ZAINO,Fantasy,320207,ongoing,2022-12-27
Nano Machine,Great H / GGBG,Action,415140,ongoing,2022-12-27
Heavenly Roommates,MARO / kang jaegeon,Fantasy,677586,ongoing,2022-12-27
Land of the Crimson Moon,Park Shin / Shin Dong ku,Action,75096,ongoing,2022-12-27
Superstar Associate Manager,kyungwon Park / Do8,Drama,64478,ongoing,2022-12-27
Our House,Jinha / Jin Jong Kyung,Slice of life,244493,ongoing,2022-12-27
Write to Your Heart! ,vaguni,Drama,176276,ongoing,2022-12-27
Maya's World,Tupaikidal,Drama,290074,ongoing,2022-12-27
Witch's Workshop,Sohee Park,Drama,15495,ongoing,2022-12-27
Killer Bang: The First Kill,doyeon kim / jinho bang,Action,56882,ongoing,2022-12-27
"66,666 Years: Advent of the Dark Mage",PASA / TARU,Fantasy,1800000,hiatus,2022-12-27
The Prince of Southland,Chris Geroux,Romance,2300000,hiatus,2022-12-27
Archie Comics: Big Ethel Energy,Keryl Brown Ahmed / Siobhan,Drama,2300000,hiatus,2022-12-27
Rebirth,Michi,Sci-fi,9600000,hiatus,2022-12-27
School Bus Graveyard,Red,Thriller,3800000,hiatus,2022-12-27
Of Dark Lords and Cabbages,Liyanya,Romance,1300000,hiatus,2022-12-27
Love Me Knot,Sophia,Romance,5600000,hiatus,2022-12-27
Lady Knight,Lion Illustration,Fantasy,1100000,hiatus,2022-12-27
Deadlove,Guy / Teo,Slice of life,320174,hiatus,2022-12-27
The Devil is a Handsome Man,Hellothisisangle,Drama,2400000,hiatus,2022-12-27
Backchannel,Stan Lee / Tom Akel / Andie Tong,Superhero,169180,hiatus,2022-12-27
unOrdinary,uru-chan,Superhero,55400000,ongoing,2022-12-27
Batman: Wayne Family Adventures,StarBite / CRC Payne,Slice of life,5700000,ongoing,2022-12-27
Mage & Demon Queen,Color_LES,Comedy,22500000,ongoing,2022-12-27
Leveling Up My Husband to the Max,Uginon / Nuova,Romance,4300000,ongoing,2022-12-27
Act Like You Love Me!,XUANN,Romance,6500000,ongoing,2022-12-27
Unlovable Replacement,Nylana,Romance,7300000,hiatus,2022-12-27
Happily Ever Afterwards,Hwang DoTol / Jeongseo,Fantasy,5000000,ongoing,2022-12-27
The RUNWAY,Domi / Nokdu,Romance,2400000,ongoing,2022-12-27
Weak Hero,SEOPASS / RAZEN,Action,14200000,ongoing,2022-12-27
Brass & Sass,antlerella,Romance,8000000,ongoing,2022-12-27
Mythic Item Obtained,Jung SeonYul / Hess,Fantasy,397417,ongoing,2022-12-27
To The Stars and Back,Peglo,Slice of life,3600000,ongoing,2022-12-27
When Jasy Whistles,Cibeles,Fantasy,2700000,ongoing,2022-12-27
See You in My 19th Life,Lee Hey,Romance,10900000,ongoing,2022-12-27
Surviving Romance,Lee Yone,Horror,3700000,ongoing,2022-12-27
Sisters at War,Maenggi Ki,Drama,113311,ongoing,2022-12-27
The Witch and The Bull,Moonsia,Fantasy,6600000,hiatus,2022-12-27
ZOMGAN,ongoo / dai,Action,280175,ongoing,2022-12-27
My Dud to Stud Boyfriend,YERANG / SUTGGI,Drama,492267,ongoing,2022-12-27
Kill the Dragon,Miss Jisu / J-Sun(REDICE STUDIO),Action,350838,ongoing,2022-12-27
Just a Goblin,Brandon Chen / Jksmanga & Inuupen,Fantasy,249214,ongoing,2022-12-27
So You're Raising a Warrior,JEON Segi / JEON Hoyun,Fantasy,1300000,hiatus,2022-12-27
Little Lady Mint,Yoon Oh / gomok,Fantasy,459569,ongoing,2022-12-27
The Dark Lord's Confession,Topseoung,Fantasy,638126,ongoing,2022-12-27
Dreaming Freedom,2L,Drama,781918,ongoing,2022-12-27
Space Boy,Stephen McCranie,Sci-fi,7400000,ongoing,2022-12-27
Best Teacher Baek,ORIBORI / S.J LEE,Action,435929,ongoing,2022-12-27
Finding Fiends,LizardxLizard,Comedy,1200000,hiatus,2022-12-27
Shadow Bride,Sae In Lee / Soo Bean Lim,Romance,1900000,ongoing,2022-12-27
"Answer Me, My Prince",Teava / Jjunya,Romance,138928,ongoing,2022-12-27
Welfare Center ,NANA,Thriller,108548,ongoing,2022-12-27
Pyramid Game,Dalgonyak,Drama,2000000,ongoing,2022-12-27
