title,author,genre,total_likes,status
our house,jinha / jin jong kyung,slice of life,229798,ongoing
superstar associate manager,kyungwon park / do8,drama,54162,ongoing
maya's world,tupaikidal,drama,282624,ongoing
killer bang: the first kill,doyeon kim / jinho bang,action,52880,ongoing
of swamp & sea,mia jay boulton & laurel boulton,supernatural,795341,ongoing
descended from divinity,san cheon / zaino,fantasy,280322,ongoing
nano machine,great h / ggbg,action,352552,ongoing
no marriage is perfect,lee dahong / long.b,romance,1200000,ongoing
rebirth,michi,sci-fi,9600000,hiatus
soleil,yenkin,fantasy,1100000,hiatus
school bus graveyard,red,thriller,3800000,hiatus
of dark lords and cabbages,liyanya,romance,1300000,hiatus
love me knot,sophia,romance,5600000,hiatus
lady knight,lion illustration,fantasy,1100000,hiatus
deadlove,guy / teo,slice of life,319210,hiatus
the devil is a handsome man,hellothisisangle,drama,2400000,hiatus
backchannel,stan lee / tom akel / andie tong,superhero,169065,hiatus
eaternal nocturnal,instantmiso,romance,5200000,hiatus
unordinary,uru-chan,superhero,54600000,ongoing
batman: wayne family adventures,starbite / crc payne,slice of life,5300000,ongoing
mage & demon queen,color_les,comedy,22200000,ongoing
leveling up my husband to the max,uginon / nuova,romance,4000000,ongoing
unlovable replacement,nylana,romance,7100000,hiatus
the runway,domi / nokdu,romance,2200000,ongoing
to the stars and back,peglo,slice of life,3300000,ongoing
act like you love me!,xuann,romance,6000000,ongoing
happily ever afterwards,hwang dotol / jeongseo,fantasy,4700000,ongoing
weak hero,seopass / razen,action,13800000,ongoing
brass & sass,antlerella,romance,7800000,ongoing
zomgan,ongoo / dai,action,188552,ongoing
mythic item obtained,jung seonyul / hess,fantasy,300180,ongoing
see you in my 19th life,lee hey,romance,10500000,ongoing
when jasy whistles,cibeles,fantasy,2400000,ongoing
city of blank,66,sci-fi,4900000,ongoing
little lady mint,yoon oh / gomok,fantasy,215993,ongoing
the witch and the bull,moonsia,fantasy,6500000,ongoing
just a goblin,brandon chen / jksmanga & inuupen,fantasy,181103,ongoing
kill the dragon,miss jisu / j-sun(redice studio),action,283940,ongoing
the dark lord's confession,topseoung,fantasy,544458,ongoing
my dud to stud boyfriend,yerang / sutggi,drama,370959,ongoing
welfare center ,nana,thriller,64369,ongoing
best teacher baek,oribori / s.j lee,action,372897,ongoing
so you're raising a warrior,jeon segi / jeon hoyun,fantasy,1200000,hiatus
finding fiends,lizardxlizard,comedy,1100000,ongoing
space boy,stephen mccranie,sci-fi,7300000,ongoing
shadow bride,sae in lee / soo bean lim,romance,1800000,ongoing
pyramid game,dalgonyak,drama,1900000,ongoing
ultra-alternate character,jixksee,action,657564,ongoing
gates of hell,dennis culver / yuki saeki,thriller,61823,ongoing
the double agent,hayeon / charles,historical,929086,ongoing
god tribe,agu_junu / seopass,fantasy,199106,ongoing
lily crown,diggymungo,action,280086,hiatus
"take me, i'm yours",rosebean / one punch rabbit,drama,752279,ongoing
infinity,two5,sports,302302,ongoing
cloud walker,kariyeen,action,595571,ongoing
threads of love,han kijoo / 1,romance,778206,ongoing
cat vs. dog,sen-chan,comedy,876712,ongoing
escape room,10park,thriller,2800000,ongoing
the last golden child,alkkae / saemong,action,480825,ongoing
the most ordinary girl,chogori,romance,288785,ongoing
ghost king,son gohoo / park jinseok,action,231651,ongoing
a man's man,dogado / lucas,drama,561642,ongoing
prince maker,suosu,fantasy,518274,ongoing
king of the east,lee dani / shin jiwoo,action,148801,ongoing
roach,nowone / right hand,horror,128001,ongoing
do you remember,mallowboo,mystery,69713,ongoing
gecko chan,meritxell garcia,comedy,496008,ongoing
discovering love: a harlequin romance collection,various artists,romance,141649,ongoing
simon sues,myung hee,supernatural,575697,hiatus
not an angel,castella / pyoryu,comedy,121690,ongoing
dreaming freedom,2l,drama,636461,ongoing
miez,hiseki,sci-fi,129392,hiatus
console her,aicandii,romance,204444,hiatus
jungle juice,hyeong eun / juder,action,6100000,hiatus
maid for hire,demonicblackcat / erry juhana,romance,1900000,hiatus
the princess's jewels,jyun / hong cha,fantasy,1900000,hiatus
parallel city,goda,mystery,2900000,hiatus
surviving romance,lee yone,horror,3600000,hiatus
kind of confidential,vivian darlin,romance,4500000,hiatus
the red king,heylenne,supernatural,2700000,hiatus
lalin's curse,isakytm,supernatural,3200000,hiatus
suitor armor,purpah,fantasy,8800000,hiatus
the guy upstairs,hanza art,thriller,814895,ongoing
maybe meant to be,honeyskein / damcho,romance,3400000,ongoing
boyfriends.,refrainbow,slice of life,20900000,hiatus
operation: true love,kkokkalee / dledumb,romance,2100000,ongoing
the god of high school,yongje park,action,30000000,ongoing
the world after the fall ,singnsong / s-cynan,action,1400000,ongoing
vampire husband,scragony,slice of life,154916,ongoing
be my villain,mintibi,romance,2200000,ongoing
