title,author,genre,day,total_likes,status,scrape_date
Mistake,Cindy Chwa / Honeytoast,Drama,Tuesday,327496,ongoing,2023-01-09
Amid the Changing Seasons,RYO. / YABOMI,Romance,Tuesday,32074,ongoing,2023-01-09
The Tax Reaper,WintersleepTurtle / Elgar,Drama,Tuesday,535648,ongoing,2023-01-09
Seven Years Later,Tirapuw / hievasp,Drama,Tuesday,393533,ongoing,2023-01-09
My Roommate is a Gumiho,NA,Romance,Tuesday,2200000,ongoing,2023-01-09
Who's Mr. President?,S.M.S / KING Productions,Drama,Tuesday,399828,ongoing,2023-01-09
Da Yomanville Gang,Jason King,Drama,Tuesday,2100000,hiatus,2023-01-09
Teenage Dragon,Peanut,Comedy,Tuesday,238574,ongoing,2023-01-09
Exchange Student,ultrafrog,Drama,Tuesday,174423,ongoing,2023-01-09
Cat Got Your Tongue,Teo / Corey,Comedy,Tuesday,199769,hiatus,2023-01-09
REAWAKENED MAN,Yongtaek Chae / Jaehan Kim,Action,Tuesday,637433,ongoing,2023-01-09
The Dog Diaries,yee seon,Slice of life,Tuesday,547647,ongoing,2023-01-09
Taekwondo Kid,JUN,Sports,Tuesday,323707,ongoing,2023-01-09
Lavender Jack,Dan Schkade,Superhero,Tuesday,715948,ongoing,2023-01-09
Neolithic Girl,JAEAH / GARAM HAN,Fantasy,Tuesday,877846,ongoing,2023-01-09
Nonesuch,The Bitsy Artist,Mystery,Tuesday,119766,ongoing,2023-01-09
Zero Game,zelbasen,Fantasy,Tuesday,2700000,ongoing,2023-01-09
Re-Possessed,Yishan Li / Trevor Mueller,Action,Tuesday,74860,ongoing,2023-01-09
BlackSmith,Boredman,Supernatural,Tuesday,273963,ongoing,2023-01-09
Dragon Savior,Han SeRam / Tom,Fantasy,Tuesday,18523,ongoing,2023-01-09
It Was All You,I SOON KI / OH5HO,Sci-fi,Tuesday,1100000,ongoing,2023-01-09
Betwixt,Harihtaroon,Mystery,Tuesday,164087,hiatus,2023-01-09
Cydonia Shattering,Tony Karnowski / Cocoon Production,Fantasy,Tuesday,165848,ongoing,2023-01-09
Romance Punch,Galang Larope,Comedy,Tuesday,92985,ongoing,2023-01-09
From Morning to Night,JiEun Son,Fantasy,Tuesday,242421,ongoing,2023-01-09
Divine Circumstances,Yusoo / Jeong Aro,Romance,Tuesday,183547,ongoing,2023-01-09
Blue,kennsaty,Drama,Tuesday,179536,ongoing,2023-01-09
Machine Uprising,Hongjacga / Tae-yul Park,Sci-fi,Tuesday,64360,ongoing,2023-01-09
GANDA: Night Defender,Nikki Dibya Wardhana / Linka08,Action,Tuesday,52013,ongoing,2023-01-09
Boyfriends.,refrainbow,Slice of life,Tuesday,21100000,hiatus,2023-01-09
Little Matcha Girl,mame ´･ω･`,Fantasy,Tuesday,2000000,hiatus,2023-01-09
Winter Moon,Merryweather / MAYUI,Fantasy,Tuesday,35400000,hiatus,2023-01-09
Luggage,zealforart,Fantasy,Tuesday,292579,hiatus,2023-01-09
Let's Play,Leeanne M. Krecic (Mongie),Romance,Tuesday,40900000,hiatus,2023-01-09
Sable Curse,Little Melon,Fantasy,Tuesday,310818,ongoing,2023-01-09
Acception,Colourbee,Drama,Tuesday,13400000,hiatus,2023-01-09
Boyfriend of the Dead,Ushio,Comedy,Tuesday,29200000,hiatus,2023-01-09
Royale,Emmett Hobbes / Hank Jones,Mystery,Tuesday,58514,hiatus,2023-01-09
Nothing Special,Katie Cook,Fantasy,Tuesday,3000000,hiatus,2023-01-09
Her Mannequin,ST,Romance,Tuesday,530450,hiatus,2023-01-09
Not So Shoujo Love Story,Curryuku,Comedy,Tuesday,4400000,hiatus,2023-01-09
True Beauty,Yaongyi,Romance,Wednesday,51800000,ongoing,2023-01-09
Teenage Mercenary,YC / Rakyeon,Action,Wednesday,7500000,ongoing,2023-01-09
Daybreak,Moosopp,Slice of life,Wednesday,2100000,ongoing,2023-01-09
Omniscient Reader,singNsong / UMI,Action,Wednesday,18700000,ongoing,2023-01-09
Marionetta,Míriam Bonastre Tur,Fantasy,Wednesday,144843,ongoing,2023-01-09
Night Owls & Summer Skies,Rebecca Sullivan / TIKKLIL,Romance,Wednesday,830850,ongoing,2023-01-09
The Dungeon Cleaning Life of a Once Genius Hunter,Dalbeat / GoilGoil,Action,Wednesday,410234,ongoing,2023-01-09
Phase,Jouki,Romance,Wednesday,6100000,hiatus,2023-01-09
My Giant Nerd Boyfriend,fishball,Slice of life,Wednesday,62800000,hiatus,2023-01-09
Hand Jumper,SLEEPACROSS,Thriller,Wednesday,1200000,ongoing,2023-01-09
My S-Class Hunters,seri / biwan,Action,Wednesday,1000000,ongoing,2023-01-09
Spellward Bound,DuneDeca,Fantasy,Wednesday,70222,ongoing,2023-01-09
Return of the Mad Demon,JP / Ihy,Historical,Wednesday,1600000,ongoing,2023-01-09
Twilight Poem,Kim Suji / MIDNIGHT STUDIO,Fantasy,Wednesday,845564,ongoing,2023-01-09
Hyperfocus,Kip Trevor,Slice of life,Wednesday,2300000,hiatus,2023-01-09
Infinite Leveling: Murim,Jinwoo Kim / Gonbung,Action,Wednesday,1700000,ongoing,2023-01-09
Bluechair,Shen,Slice of life,Wednesday,43600000,ongoing,2023-01-09
Of Swamp & Sea,Mia Jay Boulton & Laurel Boulton,Supernatural,Wednesday,1000000,ongoing,2023-01-09
In the Bleak Midwinter;,Kat / Ali,Sci-fi,Wednesday,2900000,hiatus,2023-01-09
Realta,Rachel Eaton,Fantasy,Wednesday,408102,hiatus,2023-01-09
Everywhere & Nowhere,Merryweather / PeaCH,Comedy,Wednesday,11400000,hiatus,2023-01-09
