title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,119,78022,2018-04-19,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,118,77931,2018-04-17,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,117,77765,2018-04-14,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,116,78283,2018-04-12,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,115,75770,2018-04-10,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,114,80909,2018-04-07,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,113,75293,2018-04-05,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,391,52963,2020-11-23,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,390,53026,2020-11-20,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,389,53538,2020-11-16,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,388,54988,2020-11-13,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,387,54748,2020-11-09,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,386,55728,2020-11-06,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,385,56156,2020-11-02,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,384,54957,2020-10-30,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,383,57679,2020-10-26,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,256,76342,2019-05-22,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,255,81261,2019-05-20,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,254,81021,2019-05-17,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,253,76266,2019-05-15,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,252,77001,2019-05-13,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,251,74701,2019-05-10,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,250,73611,2019-05-08,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,249,73487,2019-05-01,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,248,74051,2019-04-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,112,79853,2018-04-03,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,111,79170,2018-03-31,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,110,77644,2018-03-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,109,76488,2018-03-27,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,108,87369,2018-03-24,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,107,77061,2018-03-22,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,106,79802,2018-03-20,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,105,78606,2018-03-10,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,104,82262,2018-03-08,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,517,22300,2022-08-15,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,516,23003,2022-07-29,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,515,21816,2022-07-25,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,514,22558,2022-07-22,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,513,22659,2022-07-15,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,512,22523,2022-07-11,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,511,22502,2022-07-08,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,510,22730,2022-06-24,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,509,23704,2022-06-20,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,454,39918,2021-11-12,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,453,40259,2021-11-08,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,452,40230,2021-11-05,2023-01-13
Winter Moon,Merryweather,Fantasy,35364759,Ongoing,Tuesday,463900000,1800000,9.39,535,451,40115,2021-11-01,2023-01-13
