title,author,genre,total_likes,status,release_day,views,subscribers,rating,total_chapters,chapter,likes,published,scrape_date
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,3,229648,2020-09-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,2,233077,2020-09-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,1,280535,2020-09-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,89,215532,2021-12-04,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,88,156577,2021-11-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,87,194294,2021-11-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,86,208909,2021-11-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,85,273263,2021-07-24,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,84,226371,2021-07-17,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,83,229828,2021-07-10,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,82,234253,2021-07-03,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,81,233734,2021-06-26,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,71,210135,2021-04-27,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,70,212594,2021-04-24,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,69,214111,2021-04-20,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,68,218725,2021-04-17,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,67,220194,2021-04-13,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,66,220784,2021-04-10,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,65,228668,2021-04-06,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,64,237563,2021-04-03,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,63,249639,2021-03-30,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,80,281173,2021-06-19,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,79,230714,2021-06-12,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,78,233444,2021-06-05,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,77,223554,2021-05-29,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,76,215757,2021-05-22,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,75,219013,2021-05-15,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,74,222839,2021-05-08,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,73,227508,2021-05-04,2023-01-13
The Remarried Empress,"Alphatart , Sumpul ...",Fantasy,25563572,Ongoing,Sunday,289600000,2800000,9.86,125,72,225981,2021-05-01,2023-01-13
