site,season,season_chapter,overall_chapter,comment_count,date
naver,2,157,237,10965,"Jul 05, 2015"
naver,2,156,236,14435,"Jun 28, 2015"
naver,2,155,235,6641,"Jun 21, 2015"
naver,2,154,234,6600,"Jun 14, 2015"
naver,2,153,233,7009,"Jun 07, 2015"
naver,2,152,232,12935,"May 24, 2015"
naver,2,151,231,7882,"May 17, 2015"
naver,2,150,230,11232,"May 10, 2015"
naver,2,149,229,27793,"May 03, 2015"
naver,2,148,228,9815,"Apr 26, 2015"
naver,2,147,227,20753,"Apr 19, 2015"
naver,2,146,226,14258,"Apr 12, 2015"
naver,2,145,225,11059,"Apr 05, 2015"
naver,2,144,224,13569,"Mar 29, 2015"
naver,2,143,223,14804,"Mar 22, 2015"
naver,2,142,222,11184,"Mar 15, 2015"
naver,2,141,221,12073,"Mar 08, 2015"
naver,2,140,220,8536,"Mar 01, 2015"
naver,2,139,219,17597,"Feb 22, 2015"
naver,2,138,218,10312,"Feb 15, 2015"
naver,2,137,217,9906,"Feb 08, 2015"
naver,2,136,216,15247,"Feb 01, 2015"
naver,2,135,215,14820,"Jan 25, 2015"
naver,2,134,214,23009,"Jan 18, 2015"
naver,2,133,213,13026,"Jan 11, 2015"
naver,2,132,212,13163,"Jan 04, 2015"
naver,2,131,211,7908,"Dec 28, 2014"
naver,2,130,210,8354,"Dec 21, 2014"
naver,2,129,209,11204,"Dec 14, 2014"
naver,2,128,208,10798,"Dec 07, 2014"
naver,2,127,207,12421,"Nov 30, 2014"
naver,2,126,206,15678,"Nov 23, 2014"
naver,2,125,205,17242,"Nov 16, 2014"
naver,2,124,204,15165,"Nov 09, 2014"
naver,2,123,203,41985,"Nov 02, 2014"
naver,2,122,202,14656,"Oct 26, 2014"
naver,2,121,201,15656,"Oct 19, 2014"
naver,2,120,200,15418,"Oct 12, 2014"
naver,2,119,199,16491,"Oct 05, 2014"
naver,2,118,198,35714,"Sep 21, 2014"
naver,2,117,197,15018,"Sep 14, 2014"
naver,2,116,196,13741,"Sep 07, 2014"
naver,2,115,195,13799,"Aug 31, 2014"
naver,2,114,194,14936,"Aug 24, 2014"
naver,2,113,193,50024,"Aug 10, 2014"
naver,2,112,192,30625,"Aug 03, 2014"
naver,2,111,191,48939,"Jul 27, 2014"
naver,2,110,190,112844,"May 04, 2014"
naver,2,109,189,41971,"Apr 27, 2014"
naver,2,108,188,17235,"Apr 20, 2014"
naver,2,107,187,19378,"Apr 13, 2014"
naver,2,106,186,19907,"Apr 06, 2014"
naver,2,105,185,16815,"Mar 30, 2014"
naver,2,104,184,27682,"Mar 23, 2014"
naver,2,103,183,35615,"Mar 09, 2014"
naver,2,102,182,19078,"Mar 02, 2014"
naver,2,101,181,21318,"Feb 23, 2014"
naver,2,100,180,27024,"Feb 16, 2014"
naver,2,99,179,23181,"Feb 09, 2014"
naver,2,98,178,27797,"Feb 02, 2014"
naver,2,97,177,119696,"Jan 26, 2014"
naver,2,96,176,33643,"Jan 19, 2014"
naver,2,95,175,37014,"Jan 12, 2014"
naver,2,94,174,30700,"Jan 05, 2014"
naver,2,93,173,26115,"Dec 29, 2013"
naver,2,92,172,27947,"Dec 22, 2013"
naver,2,91,171,32356,"Dec 15, 2013"
naver,2,90,170,34073,"Dec 08, 2013"
naver,2,89,169,19548,"Dec 01, 2013"
naver,2,88,168,30627,"Nov 24, 2013"
naver,2,87,167,31961,"Nov 17, 2013"
naver,2,86,166,25373,"Nov 10, 2013"
naver,2,85,165,19359,"Nov 03, 2013"
naver,2,84,164,29764,"Oct 27, 2013"
naver,2,83,163,25581,"Oct 20, 2013"
naver,2,82,162,26825,"Oct 06, 2013"
naver,3,133,550,7243,"Aug 14, 2022"
naver,2,81,161,45350,"Sep 22, 2013"
naver,2,80,160,35588,"Sep 15, 2013"
naver,2,79,159,28908,"Sep 08, 2013"
naver,2,78,158,51199,"Sep 01, 2013"
naver,2,77,157,41685,"Aug 25, 2013"
naver,2,76,156,29190,"Aug 18, 2013"
naver,2,75,155,30576,"Aug 11, 2013"
naver,2,74,154,198581,"Aug 04, 2013"
naver,2,73,153,33204,"Jul 28, 2013"
naver,2,72,152,32421,"Jul 21, 2013"
naver,2,71,151,23107,"Jul 14, 2013"
naver,2,70,150,62400,"Jul 07, 2013"
naver,2,69,149,24418,"Jun 30, 2013"
naver,2,68,148,24831,"Jun 23, 2013"
naver,2,67,147,32152,"Jun 16, 2013"
naver,2,66,146,35540,"Jun 09, 2013"
naver,2,65,145,77106,"May 19, 2013"
naver,2,64,144,33748,"May 12, 2013"
naver,2,63,143,22039,"May 05, 2013"
naver,2,62,142,20471,"Apr 28, 2013"
naver,2,61,141,23206,"Apr 21, 2013"
naver,2,60,140,25506,"Apr 14, 2013"
naver,2,59,139,26140,"Apr 07, 2013"
naver,2,58,138,24366,"Mar 31, 2013"
naver,2,57,137,23363,"Mar 24, 2013"
naver,2,56,136,26574,"Mar 17, 2013"
naver,2,55,135,35556,"Mar 10, 2013"
naver,2,54,134,31004,"Mar 03, 2013"
naver,2,53,133,57510,"Feb 24, 2013"
naver,2,52,132,34203,"Feb 17, 2013"
naver,2,51,131,63914,"Feb 10, 2013"
naver,2,50,130,80920,"Feb 03, 2013"
naver,2,49,129,140780,"Jan 27, 2013"
naver,2,48,128,33798,"Jan 20, 2013"
naver,2,47,127,24304,"Jan 13, 2013"
naver,2,46,126,23208,"Jan 06, 2013"
naver,2,45,125,27656,"Dec 30, 2012"
naver,2,44,124,17256,"Dec 23, 2012"
naver,2,43,123,17471,"Dec 16, 2012"
naver,2,42,122,18994,"Dec 09, 2012"
naver,2,41,121,17289,"Dec 02, 2012"
naver,2,40,120,31825,"Nov 25, 2012"
naver,2,39,119,24719,"Nov 18, 2012"
naver,2,38,118,25489,"Nov 11, 2012"
naver,2,37,117,41104,"Oct 21, 2012"
naver,2,36,116,21791,"Oct 14, 2012"
naver,2,35,115,25980,"Oct 07, 2012"
naver,2,34,114,18333,"Sep 30, 2012"
naver,2,33,113,35265,"Sep 23, 2012"
naver,2,32,112,30183,"Sep 16, 2012"
naver,2,31,111,39377,"Sep 09, 2012"
naver,2,30,110,23786,"Sep 02, 2012"
naver,2,29,109,27687,"Aug 26, 2012"
naver,2,28,108,36957,"Aug 19, 2012"
naver,2,27,107,107683,"Aug 12, 2012"
naver,2,26,106,38946,"Aug 05, 2012"
naver,2,25,105,47594,"Jul 29, 2012"
naver,2,24,104,70516,"Jul 22, 2012"
naver,2,23,103,39015,"Jul 15, 2012"
naver,2,22,102,62873,"Jul 01, 2012"
naver,2,21,101,54445,"Jun 24, 2012"
naver,2,20,100,966284,"Jun 17, 2012"
naver,2,19,99,17712,"Jun 10, 2012"
naver,2,18,98,21827,"Jun 03, 2012"
naver,2,17,97,13618,"May 28, 2012"
naver,2,16,96,13539,"May 21, 2012"
naver,2,15,95,12838,"May 14, 2012"
naver,2,14,94,16274,"May 07, 2012"
naver,2,13,93,20577,"Apr 30, 2012"
naver,2,12,92,15912,"Apr 23, 2012"
naver,2,11,91,18130,"Apr 16, 2012"
naver,2,10,90,17542,"Apr 09, 2012"
naver,2,9,89,19119,"Apr 02, 2012"
naver,2,8,88,15508,"Mar 26, 2012"
naver,2,7,87,19312,"Mar 19, 2012"
naver,2,6,86,12245,"Mar 12, 2012"
naver,2,5,85,12462,"Mar 05, 2012"
naver,2,4,84,17237,"Feb 27, 2012"
naver,2,3,83,20921,"Feb 20, 2012"
naver,2,2,82,17884,"Feb 13, 2012"
naver,2,1,81,22476,"Feb 06, 2012"
naver,2,0,80,24156,"Jan 30, 2012"
naver,1,78,79,17399,"Jan 02, 2012"
naver,1,77,78,18073,"Dec 26, 2011"
naver,1,76,77,13595,"Dec 19, 2011"
naver,1,75,76,31087,"Dec 12, 2011"
naver,1,74,75,44275,"Nov 28, 2011"
naver,1,73,74,11520,"Nov 21, 2011"
naver,1,72,73,11859,"Nov 14, 2011"
naver,1,71,72,9765,"Nov 07, 2011"
naver,1,70,71,17288,"Oct 31, 2011"
naver,1,69,70,7073,"Oct 24, 2011"
naver,1,68,69,18319,"Oct 17, 2011"
naver,1,67,68,7099,"Oct 10, 2011"
naver,1,66,67,7624,"Oct 03, 2011"
naver,1,65,66,7103,"Sep 26, 2011"
naver,1,64,65,9702,"Sep 19, 2011"
naver,1,63,64,5539,"Sep 12, 2011"
naver,1,62,63,6101,"Sep 05, 2011"
naver,1,61,62,10315,"Aug 29, 2011"
naver,1,60,61,8031,"Aug 22, 2011"
naver,1,59,60,14838,"Aug 15, 2011"
naver,1,58,59,21572,"Aug 08, 2011"
naver,1,57,58,9570,"Aug 01, 2011"
naver,1,56,57,7990,"Jul 25, 2011"
naver,1,55,56,14536,"Jul 18, 2011"
naver,1,54,55,7873,"Jul 11, 2011"
naver,1,53,54,16259,"Jul 04, 2011"
naver,1,52,53,11898,"Jun 27, 2011"
naver,1,51,52,7524,"Jun 20, 2011"
naver,1,50,51,6264,"Jun 13, 2011"
naver,1,49,50,7516,"Jun 06, 2011"
naver,1,48,49,13486,"May 30, 2011"
naver,1,47,48,9781,"May 23, 2011"
naver,1,46,47,6778,"May 16, 2011"
naver,1,45,46,12021,"May 09, 2011"
naver,1,44,45,7238,"May 02, 2011"
naver,1,43,44,6861,"Apr 25, 2011"
naver,1,42,43,6547,"Apr 18, 2011"
naver,1,41,42,12561,"Apr 11, 2011"
naver,1,40,41,12947,"Apr 04, 2011"
naver,1,39,40,6765,"Mar 28, 2011"
naver,1,38,39,4001,"Mar 21, 2011"
naver,1,37,38,5976,"Mar 14, 2011"
naver,1,36,37,6540,"Mar 07, 2011"
naver,1,35,36,7460,"Feb 28, 2011"
naver,1,34,35,7492,"Feb 21, 2011"
naver,1,33,34,8665,"Feb 14, 2011"
naver,1,32,33,7452,"Feb 07, 2011"
naver,1,31,32,7126,"Jan 31, 2011"
naver,1,30,31,14680,"Jan 24, 2011"
naver,1,29,30,11239,"Jan 17, 2011"
naver,1,28,29,17775,"Jan 10, 2011"
naver,1,27,28,10557,"Jan 03, 2011"
naver,1,26,27,13463,"Dec 27, 2010"
naver,1,25,26,10198,"Dec 20, 2010"
naver,1,24,25,11412,"Dec 13, 2010"
naver,1,23,24,8950,"Dec 06, 2010"
naver,1,22,23,11537,"Nov 29, 2010"
naver,1,21,22,7509,"Nov 22, 2010"
naver,1,20,21,12691,"Nov 15, 2010"
naver,1,19,20,13160,"Nov 08, 2010"
naver,1,18,19,10255,"Nov 01, 2010"
naver,1,17,18,6897,"Oct 25, 2010"
naver,1,16,17,7421,"Oct 18, 2010"
naver,1,15,16,6149,"Oct 11, 2010"
naver,1,14,15,9581,"Oct 04, 2010"
naver,1,13,14,13273,"Sep 27, 2010"
naver,1,12,13,13620,"Sep 20, 2010"
naver,1,11,12,12347,"Sep 13, 2010"
naver,1,10,11,8251,"Sep 06, 2010"
naver,1,9,10,14457,"Aug 30, 2010"
naver,1,8,9,11700,"Aug 23, 2010"
naver,1,7,8,13209,"Aug 16, 2010"
naver,1,6,7,12649,"Aug 09, 2010"
naver,1,5,6,12178,"Aug 02, 2010"
naver,1,4,5,16195,"Jul 26, 2010"
naver,1,3,4,14064,"Jul 19, 2010"
naver,1,2,3,18771,"Jul 12, 2010"
naver,1,1,2,29480,"Jul 05, 2010"
naver,1,0,1,55234,"Jun 30, 2010"
