title,author,genre,status,release_day,views,subscribers,rating,chapter,chapter_length,comments,total_comments,likes,total_likes,date,user,comment_body,post_date,upvotes,downvotes,reply_count,scrape_date
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,Gabs 🌟☄,"I'm just glad Suho is a guy who fights to get what he wants. The moment he watches Seojun and Jugyeong's interactions I thought ""great, now he's gonna think she likes Seojun and take his distance from her"" but instead he is all like ""i gotta make a move before this b*tch steals my gurl"" and YAS SUHO THAT'S THE WAY YOU DO IT",2019-05-28,4314,25,15,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,Leo Jeremy Capewell,they're just straight up roasting her hair 😂,2019-05-28,3802,3,9,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,ScarletDawn,"Ok, but can we all just take a moment to appreciate how sweet it was that Seojun was trying to protect Suho’s privacy and feelings by stopping Jugyeong from asking too many questions about his mom?? I’m glad they’re friends again! ",2019-05-28,3346,3,7,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,bitcoinbabe,SIS GET THE GODDAMN HINT ALREADY,2019-05-28,2151,5,10,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,Michaela Swernign,Gahhhhhhh Seojun’s face at the end he looks so defeated that Suho is going to make a move 😭😭😭,2019-05-28,1840,9,10,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,Bonx95,"If the next episode drops and Suho says anything other than that he has feelings for her, I will flip a table.",2019-05-29,1648,5,24,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,justaboredgirl,Protective Suho is my religion,2019-05-28,1130,13,4,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,anime.sweet.heart,"wait, he said it was a date without telling her? smoooth suho smoooth",2019-05-28,1065,4,6,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,NihilGloom,he said it was a date out of pure jealousy lool,2019-05-28,855,8,2,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,47,133841,17031,2211694,302140,51786488,2019-06-18,yas_qween,Ok but this ending is evil. ,2019-05-28,818,3,3,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,EllyRuiz,"I just wanna take a moment to appreciate how long this chapter is, THANK YOU!",2019-06-04,236665,346,40,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,Lady Lucia,I like how they forgot to upload the rest of the chapter. I'm just gonna wait until it gets fixed because no way it would just end like that. Hahahaha...hah...*twitch* EDIT: Thanks for the top comment. I'm still twitching. ,2019-06-04,145142,725,58,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,Alley Cat2,she is so clueless. totally set herself up on that one.,2019-06-04,55713,164,31,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,This user has been deleted.,This comment has been deleted.,,0,0,129,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,This user has been deleted.,This comment has been deleted.,,0,0,221,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,miyukí,shit i ship both,2019-06-04,4924,45,31,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,Skie_Lynn,Suho better make a move fast if he wants to be with her because Seojun is making his already. 😍😍,2019-06-04,4431,29,13,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,XxMarieandIzyxX,Well that made a complete 180 turn....hurry Suho! Mr. stealyourgirl is on the loose,2019-06-04,3490,31,10,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,This user has been deleted.,This comment has been deleted.,,0,0,15,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,AllieBumbleBeeBih,I don’t want this love triangle!!!! Seojun and Suho are finally becoming friends again since....and they don’t need to get into another fight because of a girl! ,2019-06-04,2692,24,14,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,Lily Potter,"both suho and seojun seem eligible. however, suho has seen jugyeong without makeup and still thinks she's beautiful. I don't think seojun would react the same, since he's used to the whole perfect look. suho is more down to earth, likes comics like she does, and is softer in how he acts. seojun, on the other hand, is more blunt, he's more into show off things, and expensive clothes. he flirts using a standoffish attitude.  I think suho is the best match, but, you never know.",2019-06-04,2176,99,41,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,єℓαвєαяιє,*SCREAMS* KISS ALREADY! IDK WHICH SHIP ANYMORE,2019-06-04,1727,28,14,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,Inali Grimalkin,I'm nearly 30! I should not be having so many feels over a fictional teenage couple! edit: so happy to hear there are many other like minded and aged fans of the series!,2019-06-04,1378,5,37,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,Jeremy Umpleby,Seojun is making bolder moves than Suho. ,2019-06-05,1249,13,13,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,48,157478,22423,2211694,326273,51786488,2019-06-25,strange_potato,-chokes-,2019-06-04,1097,4,6,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,Suholeex,How am I Supposed to sleep after that? ,2019-06-11,195092,249,129,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,joispen,UM THAT SMILE SEOJUN MADE WHEN HE TEASED HER?!?!? CAN WE TALK ABOUT THAT PLEASE ,2019-06-11,138412,592,171,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,savannahb3833,I swear if this man decides he doesn’t like her because of her looks I’m gonna punch the pretty out of him. But I still ship it with Suho,2019-06-11,31757,190,46,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,This user has been deleted.,This comment has been deleted.,,0,0,288,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,This user has been deleted.,This comment has been deleted.,,0,0,116,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,This user has been deleted.,This comment has been deleted.,,0,0,432,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,jungkooks thighs,“responds to the word ugly” i felt that,2019-06-11,4544,6,16,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,julia!!!!!,I'm still weak at the fact that her own best friend has still never seen her without makeup ,2019-06-11,4215,2,16,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,felixwoo,Bro my heart stopped when Seojun appeared. I literally had to put my phone down and take a breather and then go back.  ,2019-06-11,3332,7,60,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,jiminsoba,so we gonna ignore the fact that seojun got a boner LMAO ,2019-06-11,1959,4,24,2023-01-06
True Beauty,Yaongyi,romance,ongoing,wednesday,959300000,7300000,9.49,49,140796,16564,2211694,295882,51786488,2019-07-02,lauraoso,AHHHH I thought the cliffhangers were bad before but they’re getting worse!!! I can’t!! ,2019-06-11,1468,7,4,2023-01-06
